5.6358 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.1253 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CD403EFC70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CD403EFC10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CD403EFA60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CD4092F730>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.1254 	EXP 	window1: mouseVisible = True
6.1254 	EXP 	window1: backgroundImage = ''
6.1255 	EXP 	window1: backgroundFit = 'none'
6.1269 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.1269 	EXP 	window1: recordFrameIntervals = False
6.1941 	EXP 	window1: recordFrameIntervals = True
6.2708 	EXP 	Screen (0) actual frame rate measured at 143.17Hz
6.2708 	EXP 	window1: recordFrameIntervals = False
6.2710 	EXP 	window1: mouseVisible = False
8.3467 	EXP 	Embody_only_20240120_psychopy202225: status = STARTED
8.3470 	EXP 	window1: mouseVisible = True
8.3817 	EXP 	Created body_image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='base.png', interpolate=True, mask=None, maskParams=None, name='body_image_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128, units='height', win=Window(...))
8.3818 	EXP 	window1: mouseVisible = True
8.3820 	EXP 	window1: mouseVisible = True
8.4263 	EXP 	Created lt_text_body_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='lt_text_body_3', opacity=1.0, ori=0, pos=array([-0.33, -0.45]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.4264 	EXP 	window1: mouseVisible = True
8.4300 	EXP 	Created rt_text_body_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='rt_text_body_3', opacity=1.0, ori=0, pos=array([ 0.33, -0.45]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.4301 	EXP 	window1: mouseVisible = True
8.4422 	EXP 	Created body_explanation_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='body_explanation_3', opacity=1.0, ori=0, pos=array([0. , 0.2]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.4423 	EXP 	window1: mouseVisible = True
8.4523 	EXP 	Created body_progress_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='body_progress_3', opacity=1.0, ori=0, pos=array([ 0. , -0.1]), rgb=UNKNOWN, text="Press 'Enter' to go to the next page", units='height', win=Window(...), wrapWidth=1)
8.4524 	EXP 	window1: mouseVisible = True
8.4532 	EXP 	Created reset_rect_3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-8.0, draggable=False, fillColor=array([1, 1, 0]), fillColorSpace='rgb', fillRGB=array([1, 1, 0]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=5, name='reset_rect_3', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), size=array([0.1 , 0.05]), units='height', vertices=ndarray(...), win=Window(...))
8.4533 	EXP 	window1: mouseVisible = True
8.4567 	EXP 	Created reset_text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-9.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='reset_text_3', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='RESET', units='height', win=Window(...), wrapWidth=1)
8.4568 	EXP 	window1: mouseVisible = True
8.4579 	EXP 	Created feeling_words = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feeling_words', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0005 	DATA 	Mouse: Left button down, pos=(689,580)
0.0008 	DATA 	Mouse:  Left button up, pos=(689,580)
0.0129 	EXP 	Imported feel_word_list.xlsx as conditions, 11 conditions, 1 params
0.0133 	EXP 	Created sequence: random, trialTypes=11, nReps=1, seed=None
0.0134 	EXP 	New trial (rep=0, index=0): {'feel_word': 'Shame'}
0.0467 	EXP 	feeling_words: height = 0.1
0.0467 	EXP 	feeling_words: height = 0.1
0.0467 	EXP 	feeling_words: height = 0.1
0.0467 	EXP 	feeling_words: text = 'Shame'
0.0467 	EXP 	body_image_3: autoDraw = True
0.0467 	EXP 	lt_text_body_3: autoDraw = True
